
App > Industry/Discipline > Module,Simulation Name,Duration (Min),Learning Objective,Standards Body > Category,Standards
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will select and wear correct PPE.,AED 2023 > Safety > Use of lifting equipment,1a.5 > Proper and safe use of lifting equipment used in the shop or field location by a technician.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Wrenches, their functions, and basic use.,AED 2023 > Safety > Use of lifting equipment,1a.5 > Proper and safe use of lifting equipment used in the shop or field location by a technician.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Hammers, their functions, and basic use.,AED 2023 > Safety > Use of lifting equipment,1a.5 > Proper and safe use of lifting equipment used in the shop or field location by a technician.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Screwdrivers, their functions, and basic use.,AED 2023 > Safety > Use of lifting equipment,1a.5 > Proper and safe use of lifting equipment used in the shop or field location by a technician.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Pliers, their functions, and basic use.,AED 2023 > Safety > Use of lifting equipment,1a.5 > Proper and safe use of lifting equipment used in the shop or field location by a technician.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Picks and Pullers, their functions, and basic use.,AED 2023 > Safety > Use of lifting equipment,1a.5 > Proper and safe use of lifting equipment used in the shop or field location by a technician.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Hammers, their functions, and basic use.,AED 2023 > Safety > Use of lifting equipment,1a.5 > Proper and safe use of lifting equipment used in the shop or field location by a technician.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Files and sanding blocks, their functions, and basic use.,AED 2023 > Safety > Use of lifting equipment,1a.5 > Proper and safe use of lifting equipment used in the shop or field location by a technician.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Pliers, their functions, and basic use.,AED 2023 > Safety > Use of lifting equipment,1a.5 > Proper and safe use of lifting equipment used in the shop or field location by a technician.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will select and wear correct PPE.,AED 2023 > Safety > Mandated Regulations,1a.10a > Personal protection equipment (PPE) • Safety glasses and shoes • Fire protection • Ear protection • Respirators • Head protection • Loose clothing hazard • Proper gloves/hand protection • Protective clothing
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Wrenches, their functions, and basic use.,AED 2023 > Safety > Mandated Regulations,1a.10a > Personal protection equipment (PPE) • Safety glasses and shoes • Fire protection • Ear protection • Respirators • Head protection • Loose clothing hazard • Proper gloves/hand protection • Protective clothing
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Socket, their functions, and basic use.,AED 2023 > Safety > Mandated Regulations,1a.10a > Personal protection equipment (PPE) • Safety glasses and shoes • Fire protection • Ear protection • Respirators • Head protection • Loose clothing hazard • Proper gloves/hand protection • Protective clothing
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Screwdrivers, their functions, and basic use.,AED 2023 > Safety > Mandated Regulations,1a.10a > Personal protection equipment (PPE) • Safety glasses and shoes • Fire protection • Ear protection • Respirators • Head protection • Loose clothing hazard • Proper gloves/hand protection • Protective clothing
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Pliers, their functions, and basic use.,AED 2023 > Safety > Mandated Regulations,1a.10a > Personal protection equipment (PPE) • Safety glasses and shoes • Fire protection • Ear protection • Respirators • Head protection • Loose clothing hazard • Proper gloves/hand protection • Protective clothing
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Picks and Pullers, their functions, and basic use.,AED 2023 > Safety > Mandated Regulations,1a.10a > Personal protection equipment (PPE) • Safety glasses and shoes • Fire protection • Ear protection • Respirators • Head protection • Loose clothing hazard • Proper gloves/hand protection • Protective clothing
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Hammers, their functions, and basic use.,AED 2023 > Safety > Mandated Regulations,1a.10a > Personal protection equipment (PPE) • Safety glasses and shoes • Fire protection • Ear protection • Respirators • Head protection • Loose clothing hazard • Proper gloves/hand protection • Protective clothing
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Files and sanding blocks, their functions, and basic use.,AED 2023 > Safety > Mandated Regulations,1a.10a > Personal protection equipment (PPE) • Safety glasses and shoes • Fire protection • Ear protection • Respirators • Head protection • Loose clothing hazard • Proper gloves/hand protection • Protective clothing
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Pliers, their functions, and basic use.,AED 2023 > Safety > Mandated Regulations,1a.10a > Personal protection equipment (PPE) • Safety glasses and shoes • Fire protection • Ear protection • Respirators • Head protection • Loose clothing hazard • Proper gloves/hand protection • Protective clothing
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will select and wear correct PPE.,ASE 2022 > CRR > Non-Structural Analysis And Damage Repair,III.A.1 > Select and use proper personal safety equipment; take necessary precautions with hazardous operations and materials in accordance with federal, state, and local regulations.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Wrenches, their functions, and basic use.,ASE 2022 > CRR > Non-Structural Analysis And Damage Repair,III.A.1 > Select and use proper personal safety equipment; take necessary precautions with hazardous operations and materials in accordance with federal, state, and local regulations.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Socket, their functions, and basic use.,ASE 2022 > CRR > Non-Structural Analysis And Damage Repair,III.A.1 > Select and use proper personal safety equipment; take necessary precautions with hazardous operations and materials in accordance with federal, state, and local regulations.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Screwdrivers, their functions, and basic use.,ASE 2022 > CRR > Non-Structural Analysis And Damage Repair,III.A.1 > Select and use proper personal safety equipment; take necessary precautions with hazardous operations and materials in accordance with federal, state, and local regulations.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Pliers, their functions, and basic use.,ASE 2022 > CRR > Non-Structural Analysis And Damage Repair,III.A.1 > Select and use proper personal safety equipment; take necessary precautions with hazardous operations and materials in accordance with federal, state, and local regulations.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Picks and Pullers, their functions, and basic use.,ASE 2022 > CRR > Non-Structural Analysis And Damage Repair,III.A.1 > Select and use proper personal safety equipment; take necessary precautions with hazardous operations and materials in accordance with federal, state, and local regulations.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Hammers, their functions, and basic use.,ASE 2022 > CRR > Non-Structural Analysis And Damage Repair,III.A.1 > Select and use proper personal safety equipment; take necessary precautions with hazardous operations and materials in accordance with federal, state, and local regulations.
VTF > Automotive > Auto Body / Collision,Hand Tools Used in Auto Body,20,Trainee will identify and demonstrate Files and sanding blocks, their functions, and basic use.,ASE 2022 > CRR > Non-Structural Analysis And Damage Repair,III.A.1 > Select and use proper personal safety equipment; take necessary precautions with hazardous operations and materials in accordance with federal, state, and local regulations.
VTF > Welding > Safety,Basic Welding Safety,30,Student will identify proper welding attire and PPE,AWS > Safety Standards,B5.2 > Proper welding safety procedures and equipment identification
VTF > Welding > Safety,Fire Prevention,25,Student will demonstrate fire prevention techniques,AWS > Safety Standards,B5.4 > Fire prevention and control in the welding environment
VTF > Welding > GMAW,GMAW Process,45,Student will set up and calibrate a GMAW system,AWS > GMAW,D1.6 > GMAW welding procedures for stainless steel
VTF > Welding > GMAW,GMAW Weld Joints,60,Student will perform GMAW on different joint types,AWS > GMAW,D1.1 > Structural welding code for steel
VTF > Manufacturing > CNC,CNC Programming Basics,50,Student will create a basic CNC program,NIMS > CNC,Metal Forming Level I > Programming CNC equipment
VTF > Manufacturing > CNC,CNC Operation,45,Student will operate CNC equipment safely,OSHA > Machine Safety,29 CFR 1910 > Machine guarding requirements
VTF > Healthcare > CPR,CPR Basics,60,Student will perform CPR on adult and infant mannequins,AHA > Basic Life Support,BLS Provider > Adult and pediatric CPR protocols
VTF > Healthcare > Patient Care,Patient Positioning,40,Student will demonstrate proper patient positioning techniques,AACN > Patient Care,Standard 2.5 > Safe patient handling and mobility
